Signal Legend:

Key        Signal Name

0        = waveform_gen:waveform_gen_inst|en
1        = waveform_gen:waveform_gen_inst|reset
2        = waveform_gen:waveform_gen_inst|phase_inc[31..0]
3        = waveform_gen:waveform_gen_inst|cos_out[11..0]
4        = waveform_gen:waveform_gen_inst|saw_out[11..0]
5        = waveform_gen:waveform_gen_inst|sin_out[11..0]
6        = waveform_gen:waveform_gen_inst|squ_out[11..0]

Data Table:

Signals-> 0 1 2         3    4    5    6    

sample

-1024     1 1 00000102h 44Ah D71h 940h 7FFh 
-1023     1 1 00000102h 44Ah D71h 940h 7FFh 
-1022     1 1 00000102h 44Ah D71h 940h 7FFh 
-1021     1 1 00000102h 44Ah D71h 940h 7FFh 
-1020     1 1 00000102h 44Ah D71h 940h 7FFh 
-1019     1 1 00000102h 44Ah D71h 940h 7FFh 
-1018     1 1 00000102h 44Ah D71h 940h 7FFh 
-1017     1 1 00000102h 44Ah D71h 940h 7FFh 
-1016     1 1 00000102h 44Ah D71h 940h 7FFh 
-1015     1 1 00000102h 44Ah D71h 940h 7FFh 
-1014     1 1 00000102h 44Ah D71h 940h 7FFh 
-1013     1 1 00000102h 44Ah D71h 940h 7FFh 
-1012     1 1 00000102h 44Ah D71h 940h 7FFh 
-1011     1 1 00000102h 44Ah D71h 940h 7FFh 
-1010     1 1 00000102h 44Ah D71h 940h 7FFh 
-1009     1 1 00000102h 44Ah D71h 940h 7FFh 
-1008     1 1 00000102h 44Ah D71h 940h 7FFh 
-1007     1 1 00000102h 44Ah D71h 940h 7FFh 
-1006     1 1 00000102h 44Ah D71h 940h 7FFh 
-1005     1 1 00000102h 44Ah D71h 940h 7FFh 
-1004     1 1 00000102h 44Ah D71h 940h 7FFh 
-1003     1 1 00000102h 44Ah D71h 940h 7FFh 
-1002     1 1 00000102h 44Ah D71h 940h 7FFh 
-1001     1 1 00000102h 44Ah D71h 940h 7FFh 
-1000     1 1 00000102h 44Ah D71h 940h 7FFh 
-999      1 1 00000102h 44Ah D71h 940h 7FFh 
-998      1 1 00000102h 44Ah D71h 940h 7FFh 
-997      1 1 00000102h 44Ah D71h 940h 7FFh 
-996      1 1 00000102h 44Ah D71h 940h 7FFh 
-995      1 1 00000102h 44Ah D71h 940h 7FFh 
-994      1 1 00000102h 44Ah D71h 940h 7FFh 
-993      1 1 00000102h 44Ah D71h 940h 7FFh 
-992      1 1 00000102h 44Ah D71h 940h 7FFh 
-991      1 1 00000102h 44Ah D71h 940h 7FFh 
-990      1 1 00000102h 44Ah D71h 940h 7FFh 
-989      1 1 00000102h 44Ah D71h 940h 7FFh 
-988      1 1 00000102h 44Ah D71h 940h 7FFh 
-987      1 1 00000102h 44Ah D71h 940h 7FFh 
-986      1 1 00000102h 44Ah D71h 940h 7FFh 
-985      1 1 00000102h 44Ah D71h 940h 7FFh 
